# HC-regime movers, test year 2018 — auto-generated by backtest_hc.py from data/hc_stints.json (CFBD /coaches).
# Regime-level attribution: plays belong to the HC era, not a verified play-caller. Do not mix with movers_2018.csv.
coach,new_team,prior_stops,baseline_hc,verify_full_season
Chad Morris,Arkansas,SMU:2015; SMU:2016; SMU:2017,Bret Bielema,
Jimbo Fisher,Texas A&M,Florida State:2014; Florida State:2015; Florida State:2016; Florida State:2017,Kevin Sumlin (+ bowl interim: Jeff Banks 1 g),
Kevin Sumlin,Arizona,Texas A&M:2014; Texas A&M:2015; Texas A&M:2016; Texas A&M:2017,Rich Rodriguez,
Scott Frost,Nebraska,UCF:2016; UCF:2017,Mike Riley,
Sonny Dykes,SMU,California:2014; California:2015; California:2016,Chad Morris,
Willie Taggart,Florida State,South Florida:2014; South Florida:2015; South Florida:2016; Oregon:2017,Jimbo Fisher (+ bowl interim: Odell Haggins 2 g),
# --- excluded candidates ---
# Dan Mullen -> Florida: baseline year not a single full-season HC regime: Jim McElwain (7 g); Randy Shannon (4 g)
