coach,new_team,metric,hc_dna_pred,program_pred,actual,hc_dna_err,program_err,n_hc,n_program,n_actual,usable,winner
Dana Holgorsen,Houston,neutral_pass_rate,0.4662,0.5121,0.4379,0.0282,0.0742,1626,289,290,True,hc_dna
Dana Holgorsen,Houston,sec_per_play,21.9481,17.0,28.5,,,1252,131,158,False,
Dana Holgorsen,Houston,fourth_down_go_rate,0.3448,0.5,0.3333,,,29,4,3,False,
Dana Holgorsen,Houston,explosive_pass_rate,0.1063,0.1493,0.1371,0.0309,0.0121,1054,201,175,True,program
Gary Andersen,Utah State,neutral_pass_rate,0.3355,0.5679,0.5539,0.2185,0.014,778,287,343,True,program
Gary Andersen,Utah State,sec_per_play,29.3292,16.5,18.0,,,483,86,75,False,
Gary Andersen,Utah State,fourth_down_go_rate,0.2353,0.3333,0.0,,,17,6,3,False,
Gary Andersen,Utah State,explosive_pass_rate,0.0854,0.0872,0.1111,0.0257,0.024,398,218,252,True,program
Geoff Collins,Georgia Tech,neutral_pass_rate,0.4602,0.0595,0.3173,0.1429,0.2578,654,252,208,True,hc_dna
Geoff Collins,Georgia Tech,sec_per_play,24.2438,31.5,25.0,,,283,134,38,False,
Geoff Collins,Georgia Tech,fourth_down_go_rate,0.3636,0.6667,0.2,,,11,3,5,False,
Geoff Collins,Georgia Tech,explosive_pass_rate,0.1019,0.1875,0.1058,,,432,32,104,False,
Hugh Freeze,Liberty,neutral_pass_rate,0.5294,0.4182,0.5812,0.0518,0.163,867,330,308,True,hc_dna
Hugh Freeze,Liberty,sec_per_play,20.3617,34.0,24.5,,,904,5,6,False,
Hugh Freeze,Liberty,fourth_down_go_rate,0.2857,0.375,0.5,,,14,8,2,False,
Hugh Freeze,Liberty,explosive_pass_rate,0.1181,0.0963,0.1096,0.0085,0.0133,601,218,228,True,hc_dna
Jim McElwain,Central Michigan,neutral_pass_rate,0.4798,0.349,0.5212,0.0414,0.1722,817,255,259,True,hc_dna
Jim McElwain,Central Michigan,sec_per_play,29.4217,48.0,25.0,,,607,6,25,False,
Jim McElwain,Central Michigan,fourth_down_go_rate,0.1667,0.2,0.3333,,,18,10,3,False,
Jim McElwain,Central Michigan,explosive_pass_rate,0.0906,0.0473,0.0852,0.0054,0.0379,563,148,176,True,hc_dna
Les Miles,Kansas,neutral_pass_rate,0.2754,0.4268,0.4311,0.1557,0.0043,501,246,225,True,program
Les Miles,Kansas,sec_per_play,29.5,32.0,27.0,,,574,51,73,False,
Les Miles,Kansas,fourth_down_go_rate,0.1818,0.0,0.2857,,,11,5,7,False,
Les Miles,Kansas,explosive_pass_rate,0.1261,0.0864,0.1103,0.0158,0.0239,222,162,145,True,hc_dna
Matt Wells,Texas Tech,neutral_pass_rate,0.4826,0.569,0.5788,0.0961,0.0097,1409,355,273,True,program
Matt Wells,Texas Tech,sec_per_play,24.2767,24.0,16.0,,,477,167,67,False,
Matt Wells,Texas Tech,fourth_down_go_rate,0.2,0.6667,0.3333,,,30,6,3,False,
Matt Wells,Texas Tech,explosive_pass_rate,0.0887,0.0879,0.0686,0.02,0.0193,970,273,204,True,program
Neal Brown,West Virginia,neutral_pass_rate,0.4975,0.5015,0.581,0.0835,0.0796,1019,337,327,True,program
Neal Brown,West Virginia,sec_per_play,26.5401,25.0,23.0,3.5401,2.0,374,351,182,True,program
Neal Brown,West Virginia,fourth_down_go_rate,0.4583,0.3333,0.375,,,24,9,8,False,
Neal Brown,West Virginia,explosive_pass_rate,0.0812,0.0991,0.0943,0.0132,0.0048,690,232,265,True,program
Rod Carey,Temple,neutral_pass_rate,0.3946,0.4648,0.4774,0.0829,0.0126,1726,355,310,True,program
Rod Carey,Temple,sec_per_play,21.7361,22.5,20.0,,,792,142,71,False,
Rod Carey,Temple,fourth_down_go_rate,0.3846,0.1429,0.6,,,39,7,5,False,
Rod Carey,Temple,explosive_pass_rate,0.0736,0.1026,0.1111,0.0375,0.0085,965,234,216,True,program
